127.0.0.1 - - [15/May/2017:11:58:51 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:32 +0200] "GET /webApp/ HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:32 +0200] "GET /webApp/styles/global.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:32 +0200] "GET /webApp/styles/crypto.css HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:32 +0200] "GET /webApp/images/key.svg HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:32 +0200] "GET /webApp/images/lock.svg HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:32 +0200] "GET /webApp/images/LogoWit.svg HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:47 +0200] "GET /webApp/ HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:47 +0200] "GET /webApp/styles/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:47 +0200] "GET /webApp/styles/crypto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:48 +0200] "GET /webApp/images/lock.svg HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:48 +0200] "GET /webApp/images/key.svg HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:48 +0200] "GET /webApp/images/LogoWit.svg HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [15/May/2017:11:59:48 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:02 +0200] "POST /webApp/encryptServlet HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:03 +0200] "GET /webApp/vendor/jquery-1.11.2.min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:03 +0200] "GET /webApp/vendor/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:03 +0200] "GET /webApp/vendor/jquery-1.11.2.min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:03 +0200] "GET /webApp/vendor/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:05 +0200] "GET /webApp/decrypt.jsp HTTP/1.1" 200 4894
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:10 +0200] "GET /webApp/index.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:54 +0200] "POST /webApp/encryptServlet HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:54 +0200] "GET /webApp/vendor/jquery-1.11.2.min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:54 +0200] "GET /webApp/vendor/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:54 +0200] "GET /webApp/vendor/jquery-1.11.2.min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/May/2017:12:00:54 +0200] "GET /webApp/vendor/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [15/May/2017:12:01:01 +0200] "GET /webApp/decrypt.jsp HTTP/1.1" 200 4894
0:0:0:0:0:0:0:1 - - [15/May/2017:12:01:06 +0200] "POST /webApp/decryptServlet HTTP/1.1" 200 5031
0:0:0:0:0:0:0:1 - - [15/May/2017:12:01:15 +0200] "GET /webApp/index.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [15/May/2017:12:08:35 +0200] "GET /webApp/index.jsp HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [15/May/2017:12:10:35 +0200] "GET /webApp/index.jsp HTTP/1.1" 200 5110
0:0:0:0:0:0:0:1 - - [15/May/2017:12:11:17 +0200] "POST /webApp/encryptServlet HTTP/1.1" 500 1654
